"businesses__id","businesses__alias","businesses__name","businesses__image_url","businesses__is_closed","businesses__url","businesses__review_count","businesses__categories__alias","businesses__categories__title","businesses__rating","businesses__coordinates__latitude","businesses__coordinates__longitude","businesses__transactions__001","businesses__transactions__002","businesses__price","businesses__location__address1","businesses__location__address2","businesses__location__address3","businesses__location__city","businesses__location__zip_code","businesses__location__country","businesses__location__state","businesses__location__display_address__001","businesses__location__display_address__002","businesses__location__display_address__003","businesses__location__display_address__004","businesses__phone","businesses__display_phone","businesses__distance","total","region__center__longitude","region__center__latitude"
"OrJhLmdE09puDoRu2Z5gKg","platform-strength-denver","Platform Strength","https://s3-media4.fl.yelpcdn.com/bphoto/dxeIYLUp-zxQ5aXCp6j0sQ/o.jpg","False","https://www.yelp.com/biz/platform-strength-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","18","gyms","Gyms","5.0","39.76528313669848","-104.98005321904905","","","","3198 Blake St","Unit 100","","Denver","80205","US","CO","3198 Blake St","Unit 100","Denver, CO 80205","","+17205064945","(720) 506-4945","3413.6169716977483","1200","-104.97024536132812","39.73552421220229"
"","","","","","","","healthtrainers","Trainers","","","","","","","","","","","","","","","","","","","","","","",""
"f2EAhyKSZjxTBxO6oiRgew","runfree-physical-therapy-and-sports-performance-golden","RunFree Physical Therapy and Sports Performance","https://s3-media2.fl.yelpcdn.com/bphoto/TNsAFWWdaHEcMa2OBB2I7A/o.jpg","False","https://www.yelp.com/biz/runfree-physical-therapy-and-sports-performance-golden?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","6","physicaltherapy","Physical Therapy","5.0","39.7800393","-105.2336054","","","","811 Brickyard Cir","","","Golden","80403","US","CO","811 Brickyard Cir","Golden, CO 80403","","","+15419518170","(541) 951-8170","23050.160231064627","","",""
"","","","","","","","races","Races & Competitions","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","healthtrainers","Trainers","","","","","","","","","","","","","","","","","","","","","","",""
"yj-w2uT764UVjXQioi-Kxg","denver-racquet-stringing-englewood","Denver Racquet Stringing","https://s3-media4.fl.yelpcdn.com/bphoto/PaWxUL22qAm10ZiRHHX72g/o.jpg","False","https://www.yelp.com/biz/denver-racquet-stringing-englewood?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","6","tennis","Tennis","5.0","39.618918","-104.98266","","","","5300 S Broadway Cir","Ste 1-302","","Englewood","80113","US","CO","5300 S Broadway Cir","Ste 1-302","Englewood, CO 80113","","+13034878846","(303) 487-8846","13009.462233772929","","",""
"vAQJ5ZTo71txDX9x2jigig","chase-mansmann-personal-training-arvada-2","Chase Mansmann Personal Training","https://s3-media3.fl.yelpcdn.com/bphoto/wTZA5DAQTwoFui1lU2iMig/o.jpg","False","https://www.yelp.com/biz/chase-mansmann-personal-training-arvada-2?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","15","healthtrainers","Trainers","5.0","39.7907566","-105.0849687","","","","null","null","","Arvada","80002","US","CO","Arvada, CO 80002","","","","+18058130414","(805) 813-0414","11570.464081893393","","",""
"","","","","","","","nutritionists","Nutritionists","","","","","","","","","","","","","","","","","","","","","","",""
"RsZzcJ9x26mCRcd_Xo6HDg","lions-den-strength-mobility-performance-denver","Lions Den Strength Mobility Performance","https://s3-media4.fl.yelpcdn.com/bphoto/u3p65TL2V5FhaVe78VHSKQ/o.jpg","False","https://www.yelp.com/biz/lions-den-strength-mobility-performance-denver?adjust_creative=CSd6XTHR0DfUmDUFsIPk6g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CSd6XTHR0DfUmDUFsIPk6g","7","gyms","Gyms","5.0","39.625570340716","-104.898597478017","","","","5058 S Syracuse St","null","","Denver","80237","US","CO","5058 S Syracuse St","Denver, CO 80237","","","+17202611965","(720) 261-1965","13677.604067779472","","",""
"","","","","","","","sports_clubs","Sports Clubs","","","","","","","","","","","","","","","","","","","","","","",""
