categories,name,rating,review_count,location,coordinates,city
"['Festivals', 'Arts & Crafts', 'Local Flavor']",Jackalope Arts,5.0,8,"{'address1': '5738 Olde Wadsworth Blvd', 'address2': '', 'address3': '', 'city': 'Arvada', 'zip_code': '80002', 'country': 'US', 'state': 'CO', 'display_address': ['5738 Olde Wadsworth Blvd', 'Arvada, CO 80002']}","{'latitude': 39.800724136818026, 'longitude': -105.08124974830933}",Denver
"['Venues & Event Spaces', 'Party & Event Planning', 'Festivals']",Special Occasions Events,5.0,4,"{'address1': '3550 Federal Blvd', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['3550 Federal Blvd', 'Denver, CO 80211']}","{'latitude': 39.76623, 'longitude': -105.02439}",Denver
['Festivals'],Denver International Wine Festival,4.5,6,"{'address1': '7000 Church Ranch Blvd', 'address2': '', 'address3': 'Omni Interlocken Hotel', 'city': 'Broomfield', 'zip_code': '80021', 'country': 'US', 'state': 'CO', 'display_address': ['7000 Church Ranch Blvd', 'Omni Interlocken Hotel', 'Broomfield, CO 80021']}","{'latitude': 39.8954144928904, 'longitude': -105.114544422754}",Denver
['Festivals'],"Denver Mineral, Fossil, Gem & Jewelry Show",4.5,10,"{'address1': '4600 Humboldt St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80216', 'country': 'US', 'state': 'CO', 'display_address': ['4600 Humboldt St', 'Denver, CO 80216']}","{'latitude': 39.779134, 'longitude': -104.9706766}",Denver
['Festivals'],Colorado Festival of Horror,5.0,1,"{'address1': '4444 N Havana St', 'address2': '', 'address3': 'Embassy Suites by Hilton Denver Central Park', 'city': 'Denver', 'zip_code': '80239', 'country': 'US', 'state': 'CO', 'display_address': ['4444 N Havana St', 'Embassy Suites by Hilton Denver Central Park', 'Denver, CO 80239']}","{'latitude': 39.77775099535848, 'longitude': -104.86493108436404}",Denver
['Festivals'],The Denver Flea,4.0,36,"{'address1': '1399 35th St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['1399 35th St', 'Denver, CO 80205']}","{'latitude': 39.77906, 'longitude': -104.995163}",Denver
['Festivals'],Cherry Creek Arts Festival,4.0,56,"{'address1': '2 Steele St', 'address2': '', 'address3': 'Ste B 100', 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['2 Steele St', 'Ste B 100', 'Denver, CO 80206']}","{'latitude': 39.71655, 'longitude': -104.94945}",Denver
"['Festivals', 'Public Markets']",Cherry Creek Holiday Market,3.5,17,"{'address1': '105 Fillmore St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['105 Fillmore St', 'Denver, CO 80206']}","{'latitude': 39.71874480557974, 'longitude': -104.95374064327746}",Denver
['Festivals'],Kevin Larson Presents,3.5,17,"{'address1': '144 West Colfax', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80224', 'country': 'US', 'state': 'CO', 'display_address': ['144 West Colfax', 'Denver, CO 80224']}","{'latitude': 39.7399254, 'longitude': -104.9855728}",Denver
['Festivals'],Denver Greek Festival,3.5,25,"{'address1': '4610 E Alameda', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80246', 'country': 'US', 'state': 'CO', 'display_address': ['4610 E Alameda', 'Denver, CO 80246']}","{'latitude': 39.7103958129883, 'longitude': -104.932891845703}",Denver
['Festivals'],Coloween,4.0,2,"{'address1': '5004 National Western Dr', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80216', 'country': 'US', 'state': 'CO', 'display_address': ['5004 National Western Dr', 'Denver, CO 80216']}","{'latitude': 39.7860977265792, 'longitude': -104.969472}",Denver
['Festivals'],Cherry Blossom Festival,3.0,14,"{'address1': '1947 Lawrence St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80202', 'country': 'US', 'state': 'CO', 'display_address': ['1947 Lawrence St', 'Denver, CO 80202']}","{'latitude': 39.752216, 'longitude': -104.992332}",Denver
