categories,name,rating,review_count,location,coordinates,city
['Hookah Bars'],Gitana Hookah Lounge,5.0,7,"{'address1': '1610 Saint Nicholas Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10040', 'country': 'US', 'state': 'NY', 'display_address': ['1610 Saint Nicholas Ave', 'New York, NY 10040']}","{'latitude': 40.85523, 'longitude': -73.92899}",NewYork
"['Irish Pub', 'Sports Bars']",The Celtic Rail,5.0,5,"{'address1': '137 W 33rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['137 W 33rd St', 'New York, NY 10001']}","{'latitude': 40.750073, 'longitude': -73.989913}",NewYork
"['Tobacco Shops', 'Lounges']",Papa Juan Cigar Room Bronx,5.0,7,"{'address1': '886 Gerard Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['886 Gerard Ave', 'Bronx, NY 10452']}","{'latitude': 40.82805, 'longitude': -73.92448}",NewYork
['Cocktail Bars'],Sleepwalk,5.0,9,"{'address1': '251 Bushwick Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['251 Bushwick Ave', 'Brooklyn, NY 11206']}","{'latitude': 40.70732, 'longitude': -73.93962}",NewYork
['Cigar Bars'],The Cave Cigar Lounge,5.0,9,"{'address1': '1425 McCarter Hwy', 'address2': None, 'address3': '', 'city': 'Newark', 'zip_code': '07104', 'country': 'US', 'state': 'NJ', 'display_address': ['1425 McCarter Hwy', 'Newark, NJ 07104']}","{'latitude': 40.757328, 'longitude': -74.166903}",NewYork
['Sports Bars'],LSC,5.0,5,"{'address1': '665 Franklin Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['665 Franklin Ave', 'Brooklyn, NY 11238']}","{'latitude': 40.6757701014208, 'longitude': -73.9557075845821}",NewYork
"['Bars', 'Karaoke']",161 Lafayette,5.0,5,"{'address1': '161 Lafayette St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['161 Lafayette St', 'New York, NY 10013']}","{'latitude': 40.71981, 'longitude': -73.99908}",NewYork
"['Dive Bars', 'Sandwiches']",PubKey,5.0,12,"{'address1': '85 Washington Pl', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['85 Washington Pl', 'New York, NY 10011']}","{'latitude': 40.732231611189206, 'longitude': -74.0000245}",NewYork
"['Beer Bar', 'Wine Bars', 'Cideries']",Queue Beer,5.0,5,"{'address1': '500 Smith St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11231', 'country': 'US', 'state': 'NY', 'display_address': ['500 Smith St', 'Brooklyn, NY 11231']}","{'latitude': 40.67409, 'longitude': -73.99835}",NewYork
"['Social Clubs', 'Lounges']",Le Malt Royale,5.0,6,"{'address1': '22 West Front St', 'address2': None, 'address3': '', 'city': 'Red Bank', 'zip_code': '07701', 'country': 'US', 'state': 'NJ', 'display_address': ['22 West Front St', 'Red Bank, NJ 07701']}","{'latitude': 40.352141, 'longitude': -74.066228}",NewYork
"['Wine Bars', 'Tapas/Small Plates', 'Cocktail Bars']",Tootles & French,5.0,11,"{'address1': '3615 Ditmars Blvd', 'address2': None, 'address3': '', 'city': 'Astoria', 'zip_code': '11105', 'country': 'US', 'state': 'NY', 'display_address': ['3615 Ditmars Blvd', 'Astoria, NY 11105']}","{'latitude': 40.7741499, 'longitude': -73.90761719999999}",NewYork
['Pubs'],Tee Dee's Tavern,5.0,8,"{'address1': '6431 Cooper Ave', 'address2': '', 'address3': '', 'city': 'Queens', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['6431 Cooper Ave', 'Queens, NY 11385']}","{'latitude': 40.6982827, 'longitude': -73.8909624}",NewYork
"['American (New)', 'Lounges']",Resolution 39,5.0,12,"{'address1': '228 W 39th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['228 W 39th St', 'New York, NY 10018']}","{'latitude': 40.754416, 'longitude': -73.989586}",NewYork
"['Bars', 'Italian', 'Venues & Event Spaces']",Concrete Brooklyn,5.0,6,"{'address1': '906 Broadway', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11206', 'country': 'US', 'state': 'NY', 'display_address': ['906 Broadway', 'Brooklyn, NY 11206']}","{'latitude': 40.6953331068589, 'longitude': -73.9321182287498}",NewYork
