city,name,rating,review_count,categories,categories_encoded
Denver,Jackalope Arts,5.0,8,Festivals,220
Denver,Jackalope Arts,5.0,8,Arts & Crafts,38
Denver,Jackalope Arts,5.0,8,Local Flavor,348
Denver,Special Occasions Events,5.0,4,Venues & Event Spaces,605
Denver,Special Occasions Events,5.0,4,Party & Event Planning,416
Denver,Special Occasions Events,5.0,4,Festivals,220
Denver,Denver International Wine Festival,4.5,6,Festivals,220
Denver,"Denver Mineral, Fossil, Gem & Jewelry Show",4.5,10,Festivals,220
Denver,Colorado Festival of Horror,5.0,1,Festivals,220
Denver,The Denver Flea,4.0,36,Festivals,220
Denver,Cherry Creek Arts Festival,4.0,56,Festivals,220
Denver,Cherry Creek Holiday Market,3.5,17,Festivals,220
Denver,Cherry Creek Holiday Market,3.5,17,Public Markets,467
Denver,Kevin Larson Presents,3.5,17,Festivals,220
Denver,Denver Greek Festival,3.5,25,Festivals,220
Denver,Coloween,4.0,2,Festivals,220
Denver,Cherry Blossom Festival,3.0,14,Festivals,220
Denver,Parker Days Festival,2.0,13,Festivals,220
Denver,Evergreen Fine Arts Festival,2.5,2,Festivals,220
Denver,Barrels & Bottles Brewery at Camp George West,5.0,14,Wine Bars,629
Denver,Barrels & Bottles Brewery at Camp George West,5.0,14,Brewpubs,98
Denver,6 and 40 Brewery,5.0,9,Brewpubs,98
Denver,Alpine Dog Brewing Company,5.0,8,Breweries,96
Denver,Jade Mountain Brewing Company,5.0,48,Breweries,96
Denver,Jade Mountain Brewing Company,5.0,48,Tea Rooms,573
Denver,Brewability & Pizzability ,5.0,99,Breweries,96
Denver,Brewability & Pizzability ,5.0,99,Special Education,536
Denver,Brewability & Pizzability ,5.0,99,Pizza,444
Denver,Holidaily Brewing Company,5.0,13,Breweries,96
Denver,Holidaily Brewing Company,5.0,13,Beer Bar,67
Denver,The Brew Hut,5.0,121,Brewing Supplies,97
Denver,The Brew Hut,5.0,121,Brewpubs,98
Denver,Mile High Tap Tours,5.0,5,Breweries,96
Denver,Mile High Tap Tours,5.0,5,Wine Tours,632
Denver,Reverence Brewing Company,5.0,22,Breweries,96
Denver,Boombox Brew Bar,5.0,21,Brewpubs,98
Denver,Launch Pad Brewery,5.0,165,Breweries,96
Denver,Cohesion Brewing Company,5.0,24,Breweries,96
Denver,Cerveceria Colorado,4.5,83,Breweries,96
Denver,Cerveceria Colorado,4.5,83,Beer Bar,67
Denver,Lady Justice Brewing,4.5,24,Breweries,96
Denver,Colorado Sake,4.5,197,Breweries,96
Denver,The Empourium Brewing Company,4.5,47,Brewpubs,98
Denver,Peak View Brewing,4.5,103,Breweries,96
Denver,Peak View Brewing,4.5,103,Beer Bar,67
Denver,Altimeter Coffee Co.,4.5,44,Coffee & Tea,155
Denver,Altimeter Coffee Co.,4.5,44,Brewpubs,98
Denver,Altimeter Coffee Co.,4.5,44,Bagels,51
Denver,Satire Brewing Company,4.5,88,Brewpubs,98
Denver,Satire Brewing Company,4.5,88,Beer Gardens,68
Denver,Public Offering Brewing Company,4.5,12,Breweries,96
Denver,Bent Barley Brewing Company,4.5,48,Brewpubs,98
Denver,Bent Barley Brewing Company,4.5,48,Beer Bar,67
Denver,A Bit Twisted Brewpub & BBQ,4.5,52,Brewpubs,98
Denver,A Bit Twisted Brewpub & BBQ,4.5,52,Barbeque,55
Denver,A Bit Twisted Brewpub & BBQ,4.5,52,Sports Bars,542
Denver,Danico Brewing Company,4.5,22,Breweries,96
Denver,Woods Boss Brewing Company,4.5,177,Breweries,96
Denver,Woods Boss Brewing Company,4.5,177,Beer Bar,67
Denver,105 West Brewing Company,4.5,164,Breweries,96
Denver,Altitude Brewing & Supply,4.5,16,Brewing Supplies,97
Denver,Altitude Brewing & Supply,4.5,16,Breweries,96
Denver,Goldspot Brewing,4.5,74,Breweries,96
Denver,Dos Luces Brewery,4.5,69,Breweries,96
Denver,Old 121 Brewhouse,4.5,21,Breweries,96
Denver,Something Brewery,4.5,91,Breweries,96
Denver,FlyteCo Brewing,4.5,98,Breweries,96
Denver,FlyteCo Brewing,4.5,98,Beer Bar,67
Denver,FlyteCo Brewing,4.5,98,Beer Gardens,68
Denver,Spangalang Brewery,4.5,155,Breweries,96
