city,name,rating,review_count,categories,location,latitude,longitude
Denver,Jackalope Arts,5.0,8,Local Flavor,"{'address1': '5738 Olde Wadsworth Blvd', 'address2': '', 'address3': '', 'city': 'Arvada', 'zip_code': '80002', 'country': 'US', 'state': 'CO', 'display_address': ['5738 Olde Wadsworth Blvd', 'Arvada, CO 80002']}",39.800724136818026,-105.08124974830933
Denver,Cherry Creek Holiday Market,3.5,17,Public Markets,"{'address1': '105 Fillmore St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['105 Fillmore St', 'Denver, CO 80206']}",39.71874480557974,-104.95374064327746
Denver,The Brew Hut,5.0,121,Brewing Supplies,"{'address1': '15120 E Hampden Ave', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80014', 'country': 'US', 'state': 'CO', 'display_address': ['15120 E Hampden Ave', 'Aurora, CO 80014']}",39.65267,-104.812142
Denver,Altitude Brewing & Supply,4.5,16,Brewing Supplies,"{'address1': '4577 N Pecos St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['4577 N Pecos St', 'Denver, CO 80211']}",39.77966432185841,-105.006752
Denver,Body Balance Strength & Wellness,5.0,6,Chiropractors,"{'address1': '4735 Walnut St E', 'address2': None, 'address3': '', 'city': 'Boulder', 'zip_code': '80301', 'country': 'US', 'state': 'CO', 'display_address': ['4735 Walnut St E', 'Boulder, CO 80301']}",40.0198647,-105.242018
Denver,The Main Reservoir,4.5,6,Lakes,"{'address1': 'Kipling Pkwy And W Florida Ave', 'address2': '', 'address3': '', 'city': 'Lakewood', 'zip_code': '80232', 'country': 'US', 'state': 'CO', 'display_address': ['Kipling Pkwy And W Florida Ave', 'Lakewood, CO 80232']}",39.6937024441672,-105.117225592035
Denver,Ruby Hill Park,4.5,25,Sledding,"{'address1': '1200 W Florida Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80223', 'country': 'US', 'state': 'CO', 'display_address': ['1200 W Florida Ave', 'Denver, CO 80223']}",39.689443,-105.00191
Denver,Stratiform Mountain Guides,5.0,2,Ski Schools,"{'address1': '', 'address2': None, 'address3': '', 'city': 'Boulder', 'zip_code': '80301', 'country': 'US', 'state': 'CO', 'display_address': ['Boulder, CO 80301']}",40.05099,-105.19525
Denver,Expo Park,4.0,16,Disc Golf,"{'address1': '10955 E Exposition Ave', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80012', 'country': 'US', 'state': 'CO', 'display_address': ['10955 E Exposition Ave', 'Aurora, CO 80012']}",39.7039549,-104.8595502
Denver,Havana Park Off Track Betting,2.0,5,Sports Betting,"{'address1': '10750 E Iliff Ave', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80014', 'country': 'US', 'state': 'CO', 'display_address': ['10750 E Iliff Ave', 'Aurora, CO 80014']}",39.673929843773564,-104.86333520384211
Denver,Black Kettle Ranch,2.0,5,Pet Breeders,"{'address1': '11413 Hilltop Rd', 'address2': '', 'address3': None, 'city': 'Parker', 'zip_code': '80134', 'country': 'US', 'state': 'CO', 'display_address': ['11413 Hilltop Rd', 'Parker, CO 80134']}",39.445305,-104.672456
Denver,The Pikine Grill Food Truck,5.0,36,Senegalese,"{'address1': '16360 East Fremont Ave', 'address2': None, 'address3': '', 'city': 'Aurora', 'zip_code': '80022', 'country': 'US', 'state': 'CO', 'display_address': ['16360 East Fremont Ave', 'Aurora, CO 80022']}",39.5844558,-104.7966026
Denver,The Brew Hut,5.0,121,Brewing Supplies,"{'address1': '15120 E Hampden Ave', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80014', 'country': 'US', 'state': 'CO', 'display_address': ['15120 E Hampden Ave', 'Aurora, CO 80014']}",39.65267,-104.812142
Denver,Knit Knook,5.0,10,Knitting Supplies,"{'address1': '10903 US Hwy 285', 'address2': 'Ste E202', 'address3': None, 'city': 'Conifer', 'zip_code': '80433', 'country': 'US', 'state': 'CO', 'display_address': ['10903 US Hwy 285', 'Ste E202', 'Conifer, CO 80433']}",39.518538,-105.3059304
Denver,Kratom Cafe USA,5.0,4,Traditional Chinese Medicine,"{'address1': '7701 Ralston Rd', 'address2': 'Ste A', 'address3': '', 'city': 'Arvada', 'zip_code': '80002', 'country': 'US', 'state': 'CO', 'display_address': ['7701 Ralston Rd', 'Ste A', 'Arvada, CO 80002']}",39.8021735,-105.0826623
Denver,Kratom Cafe USA,5.0,4,Cannabis Dispensaries,"{'address1': '7701 Ralston Rd', 'address2': 'Ste A', 'address3': '', 'city': 'Arvada', 'zip_code': '80002', 'country': 'US', 'state': 'CO', 'display_address': ['7701 Ralston Rd', 'Ste A', 'Arvada, CO 80002']}",39.8021735,-105.0826623
Denver,No Ke Aloha - Polynesian Cuisine,4.5,57,Polynesian,"{'address1': '854 S Buckley Rd', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80017', 'country': 'US', 'state': 'CO', 'display_address': ['854 S Buckley Rd', 'Aurora, CO 80017']}",39.701164981935364,-104.7901051
Denver,Front Range Kratom,4.5,16,Traditional Chinese Medicine,"{'address1': '2790 S Havana St', 'address2': 'Unit T', 'address3': '', 'city': 'Aurora', 'zip_code': '80014', 'country': 'US', 'state': 'CO', 'display_address': ['2790 S Havana St', 'Unit T', 'Aurora, CO 80014']}",39.6661452,-104.86448365276652
Denver,Moge Tee - Lakewood,4.5,15,Themed Cafes,"{'address1': '3140 S. Wadsworth', 'address2': 'Unit 115', 'address3': '', 'city': 'Lakewood', 'zip_code': '80227', 'country': 'US', 'state': 'CO', 'display_address': ['3140 S. Wadsworth', 'Unit 115', 'Lakewood, CO 80227']}",39.66171,-105.080988
Denver,EVOO Marketplace  -Denver,4.5,71,Olive Oil,"{'address1': '1338 15th St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80202', 'country': 'US', 'state': 'CO', 'display_address': ['1338 15th St', 'Denver, CO 80202']}",39.74874,-104.99954
Denver,Altitude Brewing & Supply,4.5,16,Brewing Supplies,"{'address1': '4577 N Pecos St', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80211', 'country': 'US', 'state': 'CO', 'display_address': ['4577 N Pecos St', 'Denver, CO 80211']}",39.77966432185841,-105.006752
Denver,Kratom by Mile High Botanicals,4.5,16,Traditional Chinese Medicine,"{'address1': '1540 S Holly St', 'address2': 'Ste 5', 'address3': '', 'city': 'Denver', 'zip_code': '80222', 'country': 'US', 'state': 'CO', 'display_address': ['1540 S Holly St', 'Ste 5', 'Denver, CO 80222']}",39.6886246,-104.9220181
