city,name,rating,review_count,categories
Denver,Jackalope Arts,5.0,8,Festivals
Denver,Jackalope Arts,5.0,8,Arts & Crafts
Denver,Jackalope Arts,5.0,8,Local Flavor
Denver,Special Occasions Events,5.0,4,Venues & Event Spaces
Denver,Special Occasions Events,5.0,4,Party & Event Planning
Denver,Special Occasions Events,5.0,4,Festivals
Denver,Denver International Wine Festival,4.5,6,Festivals
Denver,"Denver Mineral, Fossil, Gem & Jewelry Show",4.5,10,Festivals
Denver,Colorado Festival of Horror,5.0,1,Festivals
Denver,The Denver Flea,4.0,36,Festivals
Denver,Cherry Creek Arts Festival,4.0,56,Festivals
Denver,Cherry Creek Holiday Market,3.5,17,Festivals
Denver,Cherry Creek Holiday Market,3.5,17,Public Markets
Denver,Kevin Larson Presents,3.5,17,Festivals
Denver,Denver Greek Festival,3.5,25,Festivals
Denver,Coloween,4.0,2,Festivals
Denver,Cherry Blossom Festival,3.0,14,Festivals
Denver,Parker Days Festival,2.0,13,Festivals
Denver,Evergreen Fine Arts Festival,2.5,2,Festivals
Denver,Barrels & Bottles Brewery at Camp George West,5.0,14,Wine Bars
Denver,Barrels & Bottles Brewery at Camp George West,5.0,14,Brewpubs
Denver,6 and 40 Brewery,5.0,9,Brewpubs
Denver,Alpine Dog Brewing Company,5.0,8,Breweries
Denver,Jade Mountain Brewing Company,5.0,48,Breweries
Denver,Jade Mountain Brewing Company,5.0,48,Tea Rooms
Denver,Brewability & Pizzability ,5.0,99,Breweries
Denver,Brewability & Pizzability ,5.0,99,Special Education
Denver,Brewability & Pizzability ,5.0,99,Pizza
Denver,Holidaily Brewing Company,5.0,13,Breweries
Denver,Holidaily Brewing Company,5.0,13,Beer Bar
Denver,The Brew Hut,5.0,121,Brewing Supplies
Denver,The Brew Hut,5.0,121,Brewpubs
Denver,Mile High Tap Tours,5.0,5,Breweries
Denver,Mile High Tap Tours,5.0,5,Wine Tours
Denver,Reverence Brewing Company,5.0,22,Breweries
Denver,Boombox Brew Bar,5.0,21,Brewpubs
Denver,Launch Pad Brewery,5.0,165,Breweries
Denver,Cohesion Brewing Company,5.0,24,Breweries
Denver,Cerveceria Colorado,4.5,83,Breweries
Denver,Cerveceria Colorado,4.5,83,Beer Bar
Denver,Lady Justice Brewing,4.5,24,Breweries
Denver,Colorado Sake,4.5,197,Breweries
Denver,The Empourium Brewing Company,4.5,47,Brewpubs
Denver,Peak View Brewing,4.5,103,Breweries
Denver,Peak View Brewing,4.5,103,Beer Bar
Denver,Altimeter Coffee Co.,4.5,44,Coffee & Tea
Denver,Altimeter Coffee Co.,4.5,44,Brewpubs
Denver,Altimeter Coffee Co.,4.5,44,Bagels
Denver,Satire Brewing Company,4.5,88,Brewpubs
Denver,Satire Brewing Company,4.5,88,Beer Gardens
Denver,Public Offering Brewing Company,4.5,12,Breweries
Denver,Bent Barley Brewing Company,4.5,48,Brewpubs
Denver,Bent Barley Brewing Company,4.5,48,Beer Bar
Denver,A Bit Twisted Brewpub & BBQ,4.5,52,Brewpubs
Denver,A Bit Twisted Brewpub & BBQ,4.5,52,Barbeque
Denver,A Bit Twisted Brewpub & BBQ,4.5,52,Sports Bars
Denver,Danico Brewing Company,4.5,22,Breweries
Denver,Woods Boss Brewing Company,4.5,177,Breweries
Denver,Woods Boss Brewing Company,4.5,177,Beer Bar
Denver,105 West Brewing Company,4.5,164,Breweries
Denver,Altitude Brewing & Supply,4.5,16,Brewing Supplies
Denver,Altitude Brewing & Supply,4.5,16,Breweries
Denver,Goldspot Brewing,4.5,74,Breweries
Denver,Dos Luces Brewery,4.5,69,Breweries
Denver,Old 121 Brewhouse,4.5,21,Breweries
Denver,Something Brewery,4.5,91,Breweries
Denver,FlyteCo Brewing,4.5,98,Breweries
Denver,FlyteCo Brewing,4.5,98,Beer Bar
Denver,FlyteCo Brewing,4.5,98,Beer Gardens
Denver,Spangalang Brewery,4.5,155,Breweries
Denver,Raices Brewing Company,4.5,83,Breweries
Denver,New Terrain Brewing,4.5,370,Breweries
Denver,Holidaily Brewing,4.5,133,Breweries
Denver,Seedstock Brewery,4.5,82,Breweries
Denver,Seedstock Brewery,4.5,82,Beer Bar
Denver,Mockery Brewing,4.5,216,Breweries
Denver,Six Capital Brewing & BBQ,4.5,75,Barbeque
Denver,Six Capital Brewing & BBQ,4.5,75,Breweries
Denver,Iron Mule Brewery,4.5,43,Breweries
Denver,Iron Mule Brewery,4.5,43,Food Trucks
Denver,Rails End Beer Company,4.5,140,Breweries
Denver,Second Dawn Brewing,4.5,6,Breweries
Denver,Comet Brews,4.5,14,Beer Bar
Denver,Comet Brews,4.5,14,Brewpubs
Denver,Odell Brewing Co - Five Points Brewhouse,4.5,116,Breweries
Denver,Avery Brewing,4.5,1111,Breweries
Denver,Avery Brewing,4.5,1111,Barbeque
Denver,Avery Brewing,4.5,1111,American (Traditional)
Denver,Cheluna Brewing Co.,4.5,140,Breweries
Denver,Cheluna Brewing Co.,4.5,140,Beer Bar
Denver,Congress Park Taproom,4.5,63,Pubs
Denver,Congress Park Taproom,4.5,63,Sports Bars
Denver,Congress Park Taproom,4.5,63,Brewpubs
